Function,Parameter name,Parameter type,Parameter tune value,Seed,score
KatsuuraEvaluation,cross_interval,tune,300,2,8.287627880198947
KatsuuraEvaluation,cross_interval,tune,300,3,8.834815712314041
KatsuuraEvaluation,cross_interval,tune,300,4,9.389124614542753
KatsuuraEvaluation,cross_interval,tune,300,5,8.570211060792246
KatsuuraEvaluation,cross_interval,tune,300,6,8.882144962631536
KatsuuraEvaluation,cross_interval,tune,300,7,8.914910784617842
KatsuuraEvaluation,cross_interval,tune,300,8,9.434160725481709
KatsuuraEvaluation,cross_interval,tune,300,9,8.747322841793304
KatsuuraEvaluation,cross_interval,tune,300,10,8.470669235248527
Function,Parameter name,Parameter type,Parameter tune value,Seed,score
KatsuuraEvaluation,cross_interval,tune,310,1,9.142014705253134
KatsuuraEvaluation,cross_interval,tune,310,2,8.99186575876516
KatsuuraEvaluation,cross_interval,tune,310,3,8.960678608161302
KatsuuraEvaluation,cross_interval,tune,310,4,9.389125485100292
KatsuuraEvaluation,cross_interval,tune,310,5,8.67978541224775
KatsuuraEvaluation,cross_interval,tune,310,6,8.725107373103766
KatsuuraEvaluation,cross_interval,tune,310,7,9.297035368837536
KatsuuraEvaluation,cross_interval,tune,310,8,9.434160987812
KatsuuraEvaluation,cross_interval,tune,310,9,9.204286905544194
KatsuuraEvaluation,cross_interval,tune,310,10,9.408937180764237
Function,Parameter name,Parameter type,Parameter tune value,Seed,score
KatsuuraEvaluation,cross_interval,tune,320,1,7.743687803276142
KatsuuraEvaluation,cross_interval,tune,320,2,9.308448886075858
KatsuuraEvaluation,cross_interval,tune,320,3,9.072953849330222
KatsuuraEvaluation,cross_interval,tune,320,4,9.541478372044846
KatsuuraEvaluation,cross_interval,tune,320,5,8.709941251424317
KatsuuraEvaluation,cross_interval,tune,320,6,9.449254579727329
KatsuuraEvaluation,cross_interval,tune,320,7,9.094570879558116
KatsuuraEvaluation,cross_interval,tune,320,8,9.434158675576462
KatsuuraEvaluation,cross_interval,tune,320,9,9.248145300500695
KatsuuraEvaluation,cross_interval,tune,320,10,9.127992550263798
Function,Parameter name,Parameter type,Parameter tune value,Seed,score
KatsuuraEvaluation,cross_interval,tune,330,1,8.078341947354001
KatsuuraEvaluation,cross_interval,tune,330,2,8.932806040456096
KatsuuraEvaluation,cross_interval,tune,330,3,8.303916592566894
KatsuuraEvaluation,cross_interval,tune,330,4,9.389124419032077
KatsuuraEvaluation,cross_interval,tune,330,5,8.664449702912373
